   i      U(i)        H(U)(i)  Hinv(H(U))(i)
  235    0.871425   -0.276200    1.353900
  236    0.513070   -0.145400    0.504200
  237    0.595537    0.089300    0.846400
  238    0.523097   -0.283500    1.239100
  239    0.899924    0.027300    1.071100
  240    0.799274   -0.145300    0.961800
  241    0.719502   -0.397400    0.887000
  242    0.883528   -0.031600    1.406800
  243    1.102898   -0.039500    0.888200
  244    1.244985    0.460500    0.518500
  245    0.587423    0.013100    1.140800
  246    0.791740    0.324600    0.874800
  247    1.209772   -0.217000    1.004100
  248    1.091028    0.214200    1.003100
  249    0.621586   -0.556900    0.315300
